variant,seed,n_sources,n_cleared,clear_ratio,certified,virtual_time_s,avg_locate_clear_time_s,n_actions,error,wall_s
A5-no-probe,12,14,14,1.0,1,4914.088047342083,351.00628909586305,176,,0.031000000000858563
A5-no-probe,13,16,16,1.0,1,5380.0345421342445,336.2521588833903,191,,0.04700000000048021
A5-no-probe,14,11,11,1.0,1,4402.995503968604,400.2723185426003,167,,0.0319999999992433
A5-no-probe,15,16,16,1.0,1,5045.094716307855,315.31841976924096,174,,0.031000000000858563
A5-no-probe,16,13,13,1.0,1,4753.728146073345,365.67139585179575,200,,0.0319999999992433
A5-no-probe,17,15,15,1.0,1,4435.0541073732575,295.67027382488385,175,,0.04700000000048021
A5-no-probe,18,16,16,1.0,1,4930.772942495643,308.1733089059777,173,,0.06199999999989814
A5-no-probe,19,14,14,1.0,1,4412.099232935891,315.1499452097065,174,,0.07799999999951979
A5-no-probe,20,16,16,1.0,1,4467.694983223691,279.2309364514807,167,,0.04700000000048021
A5-no-probe,21,12,12,1.0,1,4317.157603939641,359.7631336616368,171,,0.06300000000010186
A5-no-probe,22,15,15,1.0,1,5088.8615295065765,339.25743530043843,174,,0.031000000000858563
A5-no-probe,23,10,10,1.0,1,4101.119823558176,410.1119823558176,162,,0.01599999999962165
A5-no-probe,24,12,12,1.0,1,4871.802610647022,405.98355088725185,168,,0.031000000000858563
A5-no-probe,25,13,13,1.0,1,4389.160177976192,337.6277059981686,170,,0.030999999999039574
