gamma_deg,r_m,diam_m,diam_over_r
72.5,550.0,32.4897,0.05907
72.5,600.0,35.4433,0.05907
72.5,650.0,38.3969,0.05907
72.5,700.0,41.3505,0.05907
72.5,750.0,44.3041,0.05907
72.5,800.0,47.2577,0.05907
72.5,850.0,50.2113,0.05907
72.5,900.0,53.1649,0.05907
72.5,950.0,56.1185,0.05907
72.5,1000.0,59.0721,0.05907
72.5,1050.0,62.0257,0.05907
72.5,1100.0,64.9794,0.05907
72.5,1150.0,67.9330,0.05907
72.5,1200.0,70.8866,0.05907
72.5,1250.0,73.8402,0.05907
72.5,1300.0,76.7938,0.05907
72.5,1350.0,79.7474,0.05907
72.5,1400.0,82.7010,0.05907
72.5,1450.0,85.6546,0.05907
72.5,1500.0,88.6082,0.05907
75.0,200.0,11.4752,0.05738
75.0,250.0,14.3440,0.05738
75.0,300.0,17.2128,0.05738
75.0,350.0,20.0815,0.05738
75.0,400.0,22.9503,0.05738
75.0,450.0,25.8191,0.05738
75.0,500.0,28.6879,0.05738
75.0,550.0,31.5567,0.05738
75.0,600.0,34.4255,0.05738
75.0,650.0,37.2943,0.05738
75.0,700.0,40.1631,0.05738
75.0,750.0,43.0319,0.05738
75.0,800.0,45.9007,0.05738
75.0,850.0,48.7695,0.05738
75.0,900.0,51.6383,0.05738
75.0,950.0,54.5071,0.05738
75.0,1000.0,57.3758,0.05738
75.0,1050.0,60.2446,0.05738
75.0,1100.0,63.1134,0.05738
75.0,1150.0,65.9822,0.05738
75.0,1200.0,68.8510,0.05738
75.0,1250.0,71.7198,0.05738
75.0,1300.0,74.5886,0.05738
75.0,1350.0,77.4574,0.05738
75.0,1400.0,80.3262,0.05738
75.0,1450.0,83.1950,0.05738
75.0,1500.0,86.0638,0.05738
77.5,200.0,11.1600,0.05580
77.5,250.0,13.9500,0.05580
77.5,300.0,16.7401,0.05580
77.5,350.0,19.5301,0.05580
77.5,400.0,22.3201,0.05580
77.5,450.0,25.1101,0.05580
77.5,500.0,27.9001,0.05580
77.5,550.0,30.6901,0.05580
77.5,600.0,33.4801,0.05580
77.5,650.0,36.2701,0.05580
77.5,700.0,39.0601,0.05580
77.5,750.0,41.8501,0.05580
77.5,800.0,44.6402,0.05580
77.5,850.0,47.4302,0.05580
77.5,900.0,50.2202,0.05580
77.5,950.0,53.0102,0.05580
77.5,1000.0,55.8002,0.05580
77.5,1050.0,58.5902,0.05580
77.5,1100.0,61.3802,0.05580
77.5,1150.0,64.1702,0.05580
77.5,1200.0,66.9602,0.05580
77.5,1250.0,69.7502,0.05580
77.5,1300.0,72.5403,0.05580
77.5,1350.0,75.3303,0.05580
77.5,1400.0,78.1203,0.05580
